Player,Season,Pos,Team,G,Salary,PPG,APG,RPG,BPG,SPG,TPG
Matt Barnes,2013,SF,LAC,80.0,6.12,10.3,1.5,4.6,0.8,1.0,1.1
Nicolas Batum,2013,SF,POR,73.0,20.87,14.3,4.9,5.6,1.1,1.2,2.6
Jerryd Bayless,2013,PG,MEM,80.0,9.42,8.7,3.3,2.2,0.2,0.7,1.5
Michael Beasley,2013,SF,PHO,75.0,1.4,10.1,1.5,3.8,0.5,0.4,1.9
Marco Belinelli,2013,SG,CHI,73.0,6.33,9.6,2.0,1.9,0.1,0.6,1.1
Andrew Bogut,2013,C,GSW,32.0,11.03,5.8,2.1,7.7,1.7,0.6,1.1
Corey Brewer,2013,SF,DEN,82.0,7.6,12.1,1.5,2.9,0.3,1.4,1.2
Tyson Chandler,2013,C,NYK,66.0,12.42,10.4,0.9,10.7,1.1,0.6,1.3
Darren Collison,2013,PG,DAL,81.0,5.23,12.0,5.1,2.7,0.1,1.2,2.1
Nick Collison,2013,C,OKC,81.0,3.75,5.1,1.5,4.1,0.4,0.6,0.9
Mike Conley,2013,PG,MEM,80.0,26.54,14.6,6.1,2.8,0.3,2.2,2.4
Stephen Curry,2013,PG,GSW,78.0,12.11,22.9,6.9,4.0,0.2,1.6,3.1
Luol Deng,2013,SF,CHI,75.0,18.0,16.5,3.0,6.3,0.4,1.1,1.9
DeMar DeRozan,2013,SG,TOR,82.0,26.54,18.1,2.5,3.9,0.3,0.9,1.8
Goran Dragic,2013,PG,PHO,77.0,15.89,14.7,7.4,3.1,0.3,1.6,2.8
Kevin Durant,2013,SF,OKC,81.0,26.54,28.1,4.6,7.9,1.3,1.4,3.5
Wayne Ellington,2013,SG,TOT,78.0,6.0,7.9,1.3,2.1,0.0,0.6,0.7
Monta Ellis,2013,SG,MIL,82.0,10.77,19.2,6.0,3.9,0.4,2.1,3.1
Tyreke Evans,2013,SG,SAC,65.0,10.66,15.2,3.5,4.4,0.4,1.4,2.0
Raymond Felton,2013,PG,NYK,68.0,1.55,13.9,5.5,2.9,0.2,1.4,2.3
Marc Gasol,2013,C,MEM,80.0,21.17,14.1,4.0,7.8,1.7,1.0,2.0
Rudy Gay,2013,SF,TOT,75.0,13.33,18.2,2.7,6.1,0.7,1.5,2.6
Manu Ginobili,2013,SG,SAS,60.0,14.0,11.8,4.6,3.4,0.2,1.3,2.2
Eric Gordon,2013,SG,NOH,42.0,12.39,17.0,3.3,1.8,0.2,1.1,2.8
Danny Green,2013,SG,SAS,80.0,10.0,10.5,1.8,3.0,0.7,1.2,1.2
Devin Harris,2013,SG,ATL,58.0,4.23,9.9,3.4,2.0,0.2,1.1,1.5
Spencer Hawes,2013,C,PHI,82.0,6.35,11.0,2.2,7.2,1.4,0.3,1.6
George Hill,2013,PG,IND,76.0,8.0,14.2,4.7,3.7,0.3,1.1,1.5
Jrue Holiday,2013,PG,PHI,78.0,11.29,17.7,8.0,4.2,0.4,1.6,3.7
Al Horford,2013,C,ATL,74.0,26.54,17.4,3.2,10.2,1.1,1.1,2.0
Dwight Howard,2013,C,LAL,76.0,23.18,17.1,1.4,12.4,2.4,1.1,3.0
Serge Ibaka,2013,PF,OKC,80.0,12.25,13.2,0.5,7.7,3.0,0.4,1.6
Andre Iguodala,2013,SG,DEN,80.0,11.13,13.0,5.4,5.3,0.6,1.7,2.6
Ersan Ilyasova,2013,PF,MIL,73.0,8.4,13.2,1.6,7.1,0.5,0.9,1.0
Jarrett Jack,2013,SG,GSW,79.0,1.55,12.9,5.6,3.1,0.1,0.8,2.0
Richard Jefferson,2013,SF,GSW,56.0,2.5,3.1,0.6,1.5,0.1,0.2,0.4
Amir Johnson,2013,PF,TOR,81.0,12.0,10.0,1.5,7.5,1.4,1.0,1.4
Joe Johnson,2013,SG,BRK,72.0,11.0,16.2,3.5,3.0,0.2,0.7,1.7
DeAndre Jordan,2013,C,LAC,82.0,21.17,8.8,0.3,7.2,1.4,0.6,1.2
Kyle Korver,2013,SF,ATL,74.0,5.24,10.9,2.0,4.0,0.5,0.9,0.9
Kosta Koufos,2013,C,DEN,81.0,8.05,8.0,0.4,6.9,1.3,0.5,0.7
Brook Lopez,2013,C,BRK,74.0,21.17,19.4,0.9,6.9,2.1,0.4,1.8
Kevin Love,2013,PF,MIN,18.0,21.17,18.3,2.3,14.0,0.5,0.7,2.2
Kyle Lowry,2013,PG,TOR,68.0,12.0,11.6,6.4,4.7,0.4,1.4,2.3
Wesley Matthews,2013,SG,POR,69.0,17.1,14.8,2.5,2.8,0.3,1.3,1.6
JaVale McGee,2013,C,DEN,79.0,1.4,9.1,0.3,4.8,2.0,0.4,1.1
Jodie Meeks,2013,SG,LAL,78.0,6.54,7.9,0.9,2.2,0.1,0.7,0.7
C.J. Miles,2013,SF,CLE,65.0,4.58,11.2,1.0,2.7,0.3,0.8,1.1
Jameer Nelson,2013,PG,ORL,56.0,4.54,14.7,7.4,3.7,0.1,1.3,2.8
Dirk Nowitzki,2013,PF,DAL,53.0,25.0,17.3,2.5,6.8,0.7,0.7,1.3
Tony Parker,2013,PG,SAS,66.0,14.45,20.3,7.6,3.0,0.1,0.8,2.6
Chris Paul,2013,PG,LAC,70.0,22.87,16.9,9.7,3.7,0.1,2.4,2.3
Zach Randolph,2013,PF,MEM,76.0,10.36,15.4,1.4,11.2,0.4,0.8,2.0
J.J. Redick,2013,SG,TOT,78.0,7.38,14.1,3.8,2.2,0.1,0.5,1.8
Thabo Sefolosha,2013,SG,OKC,81.0,3.85,7.6,1.5,3.9,0.5,1.3,0.8
J.R. Smith,2013,SG,NYK,80.0,12.8,18.1,2.7,5.3,0.3,1.2,1.7
Jason Smith,2013,C,NOH,51.0,5.0,8.2,0.7,3.6,0.9,0.3,1.1
Marreese Speights,2013,C,TOT,79.0,1.4,8.3,0.6,4.9,0.7,0.3,1.0
Jeff Teague,2013,PG,ATL,80.0,8.8,14.6,7.2,2.2,0.4,1.5,2.9
Beno Udrih,2013,SG-PG,TOT,66.0,1.55,8.2,4.6,2.1,0.0,0.6,1.6
Anderson Varejao,2013,C,CLE,25.0,1.98,14.1,3.4,14.4,0.6,1.5,1.8
David West,2013,PF,IND,73.0,1.55,17.1,2.9,7.7,0.9,1.0,2.2
Russell Westbrook,2013,PG,OKC,82.0,26.54,23.2,7.4,5.2,0.3,1.8,3.3
Deron Williams,2013,PG,BRK,78.0,9.0,18.9,7.7,3.0,0.4,1.0,2.8
Nick Young,2013,SG,PHI,59.0,5.44,10.6,1.4,2.2,0.2,0.6,0.8
Thaddeus Young,2013,PF,PHI,76.0,14.15,14.8,1.6,7.5,0.7,1.8,1.2
Arron Afflalo,2014,SG,ORL,73.0,12.5,18.2,3.4,3.6,0.0,0.5,2.0
LaMarcus Aldridge,2014,PF,POR,69.0,20.58,23.2,2.6,11.1,1.0,0.9,1.8
Tony Allen,2014,SG,MEM,55.0,5.51,9.0,1.7,3.8,0.3,1.6,1.6
Ryan Anderson,2014,PF,NOP,22.0,18.74,19.8,0.8,6.5,0.3,0.5,0.9
Carmelo Anthony,2014,PF,NYK,77.0,24.56,27.4,3.1,8.1,0.7,1.2,2.6
Trevor Ariza,2014,SF,WAS,77.0,7.81,14.4,2.5,6.2,0.3,1.6,1.7
Matt Barnes,2014,SF,LAC,63.0,6.12,9.9,2.0,4.6,0.4,0.9,1.3
Nicolas Batum,2014,SF,POR,82.0,20.87,13.0,5.1,7.5,0.7,0.9,2.5
Jerryd Bayless,2014,PG,TOT,72.0,9.42,9.2,2.7,2.0,0.1,0.8,1.1
Michael Beasley,2014,SF,MIA,55.0,1.4,7.9,0.8,3.1,0.4,0.4,1.0
Marco Belinelli,2014,SF,SAS,80.0,6.33,11.4,2.2,2.8,0.1,0.6,1.2
Andrew Bogut,2014,C,GSW,67.0,11.03,7.3,1.7,10.0,1.8,0.7,1.4
Corey Brewer,2014,SF,MIN,81.0,7.6,12.3,1.7,2.6,0.4,1.9,1.3
Tyson Chandler,2014,C,NYK,55.0,12.42,8.7,1.1,9.6,1.1,0.7,1.3
Darren Collison,2014,PG,LAC,80.0,5.23,11.4,3.7,2.4,0.2,1.2,1.6
Nick Collison,2014,PF,OKC,81.0,3.75,4.2,1.3,3.6,0.3,0.4,0.9
Mike Conley,2014,PG,MEM,73.0,26.54,17.2,6.0,2.9,0.2,1.5,2.1
Stephen Curry,2014,PG,GSW,78.0,12.11,24.0,8.5,4.3,0.2,1.6,3.8
Luol Deng,2014,SF,TOT,63.0,18.0,16.0,2.9,5.7,0.1,1.0,1.8
DeMar DeRozan,2014,SG,TOR,79.0,26.54,22.7,4.0,4.3,0.4,1.1,2.2
Goran Dragic,2014,SG,PHO,76.0,15.89,20.3,5.9,3.2,0.3,1.4,2.8
Kevin Durant,2014,SF,OKC,81.0,26.54,32.0,5.5,7.4,0.7,1.3,3.5
Wayne Ellington,2014,SG,DAL,45.0,6.0,3.2,0.4,1.0,0.0,0.4,0.2
Monta Ellis,2014,SG,DAL,82.0,10.77,19.0,5.7,3.6,0.3,1.7,3.2
Tyreke Evans,2014,SF,NOP,72.0,10.66,14.5,5.0,4.7,0.3,1.2,2.4
Raymond Felton,2014,PG,NYK,65.0,1.55,9.7,5.6,3.0,0.4,1.2,2.0
Marc Gasol,2014,C,MEM,59.0,21.17,14.6,3.6,7.2,1.3,1.0,1.9
Rudy Gay,2014,SF,TOT,73.0,13.33,20.0,2.9,6.0,0.8,1.3,3.1
Manu Ginobili,2014,SG,SAS,68.0,14.0,12.3,4.3,3.0,0.2,1.0,2.0
Eric Gordon,2014,SG,NOP,64.0,12.39,15.4,3.2,2.6,0.2,1.2,2.1
Danny Green,2014,SG,SAS,68.0,10.0,9.1,1.5,3.4,0.9,1.0,1.1
Devin Harris,2014,PG,DAL,40.0,4.23,7.9,4.4,2.1,0.0,0.7,1.5
Spencer Hawes,2014,C,TOT,80.0,6.35,13.2,3.0,8.2,1.2,0.6,2.2
George Hill,2014,PG,IND,76.0,8.0,10.3,3.5,3.7,0.3,1.0,1.2
Jrue Holiday,2014,PG,NOP,34.0,11.29,14.3,7.9,4.2,0.4,1.6,3.1
Al Horford,2014,C,ATL,29.0,26.54,18.6,2.6,8.4,1.5,0.9,2.2
Dwight Howard,2014,C,HOU,71.0,23.18,18.3,1.8,12.2,1.8,0.8,3.2
Serge Ibaka,2014,PF,OKC,81.0,12.25,15.1,1.0,8.8,2.7,0.5,1.5
Andre Iguodala,2014,SF,GSW,63.0,11.13,9.3,4.2,4.7,0.3,1.5,1.6
Ersan Ilyasova,2014,PF,MIL,55.0,8.4,11.2,1.3,6.2,0.1,0.8,1.1
Jarrett Jack,2014,PG,CLE,80.0,1.55,9.5,4.0,2.8,0.3,0.7,1.7
Richard Jefferson,2014,SF,UTA,82.0,2.5,10.1,1.6,2.7,0.2,0.7,1.1
Amir Johnson,2014,PF,TOR,77.0,12.0,10.4,1.5,6.6,1.1,0.7,1.6
Joe Johnson,2014,SG,BRK,79.0,11.0,15.8,2.7,3.4,0.1,0.6,1.5
DeAndre Jordan,2014,C,LAC,82.0,21.17,10.4,0.9,13.6,2.5,1.0,1.5
Kyle Korver,2014,SG,ATL,71.0,5.24,12.0,2.9,4.0,0.3,1.0,1.4
Kosta Koufos,2014,C,MEM,80.0,8.05,6.4,0.5,5.2,0.9,0.4,0.8
Brook Lopez,2014,C,BRK,17.0,21.17,20.7,0.9,6.0,1.8,0.5,1.6
Kevin Love,2014,PF,MIN,77.0,21.17,26.1,4.4,12.5,0.5,0.8,2.5
Kyle Lowry,2014,PG,TOR,79.0,12.0,17.9,7.4,4.7,0.2,1.5,2.5
Wesley Matthews,2014,SG,POR,82.0,17.1,16.4,2.4,3.5,0.2,0.9,1.3
JaVale McGee,2014,C,DEN,5.0,1.4,7.0,0.4,3.4,1.4,0.2,1.6
Jodie Meeks,2014,SG,LAL,77.0,6.54,15.7,1.8,2.5,0.1,1.4,1.4
C.J. Miles,2014,SG,CLE,51.0,4.58,9.9,1.0,2.0,0.3,0.9,0.9
Jameer Nelson,2014,PG,ORL,68.0,4.54,12.1,7.0,3.4,0.1,0.8,2.4
Dirk Nowitzki,2014,PF,DAL,80.0,25.0,21.7,2.7,6.2,0.6,0.9,1.5
Tony Parker,2014,PG,SAS,68.0,14.45,16.7,5.7,2.3,0.1,0.5,2.2
Chris Paul,2014,PG,LAC,62.0,22.87,19.1,10.7,4.3,0.1,2.5,2.3
Zach Randolph,2014,PF,MEM,79.0,10.36,17.4,2.5,10.1,0.3,0.7,2.3
J.J. Redick,2014,SG,LAC,35.0,7.38,15.2,2.2,2.1,0.1,0.8,1.2
Thabo Sefolosha,2014,SG,OKC,61.0,3.85,6.3,1.5,3.6,0.3,1.3,0.9
J.R. Smith,2014,SF,NYK,74.0,12.8,14.5,3.0,4.0,0.3,0.9,1.5
Jason Smith,2014,PF,NOP,31.0,5.0,9.7,0.9,5.8,0.9,0.4,0.9
Marreese Speights,2014,C,GSW,79.0,1.4,6.4,0.4,3.7,0.4,0.1,0.8
Jeff Teague,2014,PG,ATL,79.0,8.8,16.5,6.7,2.6,0.2,1.1,2.9
Beno Udrih,2014,SG,TOT,41.0,1.55,4.9,2.8,1.4,0.1,0.6,1.1
Anderson Varejao,2014,C,CLE,65.0,1.98,8.4,2.2,9.7,0.6,1.1,1.1
David West,2014,PF,IND,80.0,1.55,14.0,2.8,6.8,0.9,0.8,1.7
Russell Westbrook,2014,PG,OKC,46.0,26.54,21.8,6.9,5.7,0.2,1.9,3.8
Deron Williams,2014,PG,BRK,64.0,9.0,14.3,6.1,2.6,0.2,1.5,2.2
Nick Young,2014,SG,LAL,64.0,5.44,17.9,1.5,2.6,0.2,0.7,1.5
Thaddeus Young,2014,PF,PHI,79.0,14.15,17.9,2.3,6.0,0.5,2.1,2.1
Arron Afflalo,2015,SG,TOT,78.0,12.5,13.3,1.7,3.2,0.1,0.5,1.5
LaMarcus Aldridge,2015,PF,POR,71.0,20.58,23.4,1.7,10.2,1.0,0.7,1.7
Tony Allen,2015,SG,MEM,63.0,5.51,8.6,1.4,4.4,0.5,2.0,1.4
Ryan Anderson,2015,PF,NOP,61.0,18.74,13.7,0.9,4.8,0.3,0.5,1.0
Carmelo Anthony,2015,SF,NYK,40.0,24.56,24.2,3.0,6.6,0.4,1.0,2.2
Trevor Ariza,2015,SF,HOU,82.0,7.81,12.8,2.5,5.6,0.2,1.9,1.7
Matt Barnes,2015,SF,LAC,76.0,6.12,10.1,1.5,4.0,0.7,0.9,1.1
Nicolas Batum,2015,SF,POR,71.0,20.87,9.4,4.8,5.9,0.6,1.1,1.9
Jerryd Bayless,2015,PG,MIL,77.0,9.42,7.8,3.0,2.7,0.2,0.8,1.7
Michael Beasley,2015,PF,MIA,24.0,1.4,8.8,1.3,3.7,0.5,0.6,1.5
Marco Belinelli,2015,SG,SAS,62.0,6.33,9.2,1.5,2.5,0.0,0.5,1.0
Andrew Bogut,2015,C,GSW,67.0,11.03,6.3,2.7,8.1,1.7,0.6,1.6
Corey Brewer,2015,SF,TOT,80.0,7.6,11.5,2.2,3.7,0.2,1.4,1.6
Tyson Chandler,2015,C,DAL,75.0,12.42,10.3,1.1,11.5,1.2,0.6,1.4
Darren Collison,2015,PG,SAC,45.0,5.23,16.1,5.6,3.2,0.3,1.5,2.5
Nick Collison,2015,PF,OKC,66.0,3.75,4.1,1.4,3.8,0.4,0.5,0.7
Mike Conley,2015,PG,MEM,70.0,26.54,15.8,5.4,3.0,0.2,1.3,2.2
Stephen Curry,2015,PG,GSW,80.0,12.11,23.8,7.7,4.3,0.2,2.0,3.1
Luol Deng,2015,SF,MIA,72.0,18.0,14.0,1.9,5.2,0.3,0.9,1.5
DeMar DeRozan,2015,SG,TOR,60.0,26.54,20.1,3.5,4.6,0.2,1.2,2.3
Goran Dragic,2015,SG-PG,TOT,78.0,15.89,16.3,4.5,3.5,0.2,1.0,2.2
Kevin Durant,2015,SF,OKC,27.0,26.54,25.4,4.1,6.6,0.9,0.9,2.7
Wayne Ellington,2015,SG,LAL,65.0,6.0,10.0,1.6,3.2,0.0,0.5,0.8
Monta Ellis,2015,SG,DAL,80.0,10.77,18.9,4.1,2.4,0.3,1.8,2.5
Tyreke Evans,2015,SG,NOP,79.0,10.66,16.6,6.6,5.3,0.5,1.3,3.1
Raymond Felton,2015,PG,DAL,29.0,1.55,3.7,1.4,0.9,0.1,0.4,0.6
Marc Gasol,2015,C,MEM,81.0,21.17,17.4,3.8,7.8,1.6,0.9,2.2
Rudy Gay,2015,SF,SAC,68.0,13.33,21.1,3.7,5.9,0.6,1.0,2.7
Manu Ginobili,2015,SG,SAS,70.0,14.0,10.5,4.2,3.0,0.3,1.0,2.2
Eric Gordon,2015,SG,NOP,61.0,12.39,13.4,3.8,2.6,0.2,0.8,2.0
Danny Green,2015,SG,SAS,81.0,10.0,11.7,2.0,4.2,1.1,1.2,1.1
Devin Harris,2015,PG,DAL,76.0,4.23,8.8,3.1,1.8,0.2,1.0,1.1
Spencer Hawes,2015,PF,LAC,73.0,6.35,5.8,1.2,3.5,0.7,0.3,0.8
George Hill,2015,PG,IND,43.0,8.0,16.1,5.1,4.2,0.3,1.0,1.6
Jrue Holiday,2015,PG,NOP,40.0,11.29,14.8,6.8,3.4,0.6,1.6,2.3
Al Horford,2015,C,ATL,76.0,26.54,15.2,3.2,7.2,1.3,0.9,1.3
Dwight Howard,2015,C,HOU,41.0,23.18,15.8,1.2,10.5,1.3,0.7,2.8
Serge Ibaka,2015,PF,OKC,64.0,12.25,14.3,0.9,7.8,2.4,0.5,1.5
Andre Iguodala,2015,SF,GSW,77.0,11.13,7.8,3.0,3.3,0.3,1.2,1.1
Ersan Ilyasova,2015,PF,MIL,58.0,8.4,11.5,1.0,4.8,0.3,0.6,0.8
Jarrett Jack,2015,PG,BRK,80.0,1.55,12.0,4.7,3.1,0.2,0.9,2.4
Richard Jefferson,2015,SF,DAL,74.0,2.5,5.8,0.8,2.5,0.1,0.4,0.7
Amir Johnson,2015,PF,TOR,75.0,12.0,9.3,1.6,6.1,0.8,0.6,1.5
Joe Johnson,2015,SG,BRK,80.0,11.0,14.4,3.6,4.8,0.2,0.7,1.7
DeAndre Jordan,2015,C,LAC,82.0,21.17,11.5,0.7,15.0,2.2,1.0,1.3
Kyle Korver,2015,SG,ATL,75.0,5.24,12.1,2.6,4.1,0.6,0.7,1.4
Kosta Koufos,2015,C,MEM,81.0,8.05,5.2,0.5,5.3,0.8,0.4,0.9
Brook Lopez,2015,C,BRK,72.0,21.17,17.2,0.7,7.4,1.8,0.6,1.4
Kevin Love,2015,PF,CLE,75.0,21.17,16.4,2.2,9.7,0.5,0.7,1.6
Kyle Lowry,2015,PG,TOR,70.0,12.0,17.8,6.8,4.7,0.2,1.6,2.5
Wesley Matthews,2015,SG,POR,60.0,17.1,15.9,2.3,3.7,0.2,1.3,1.4
JaVale McGee,2015,C,TOT,23.0,1.4,4.6,0.1,2.7,0.9,0.1,0.8
Jodie Meeks,2015,SG,DET,60.0,6.54,11.0,1.3,1.7,0.1,1.0,1.0
C.J. Miles,2015,SG,IND,70.0,4.58,13.5,1.1,3.1,0.4,0.9,1.0
Jameer Nelson,2015,PG,TOT,63.0,4.54,8.3,4.0,2.3,0.1,0.7,1.7
Dirk Nowitzki,2015,PF,DAL,77.0,25.0,17.3,1.9,5.9,0.4,0.5,1.1
Tony Parker,2015,PG,SAS,68.0,14.45,14.4,4.9,1.9,0.0,0.6,2.1
Chris Paul,2015,PG,LAC,82.0,22.87,19.1,10.2,4.6,0.2,1.9,2.3
Zach Randolph,2015,PF,MEM,71.0,10.36,16.1,2.2,10.5,0.2,1.0,2.2
J.J. Redick,2015,SG,LAC,78.0,7.38,16.4,1.8,2.1,0.1,0.5,1.2
Thabo Sefolosha,2015,SF,ATL,52.0,3.85,5.3,1.4,4.3,0.4,1.0,0.7
J.R. Smith,2015,SG,TOT,70.0,12.8,12.1,2.8,3.1,0.3,1.2,1.4
Jason Smith,2015,C,NYK,82.0,5.0,8.0,1.7,4.0,0.5,0.4,1.3
Marreese Speights,2015,C,GSW,76.0,1.4,10.4,0.9,4.3,0.4,0.3,1.1
Jeff Teague,2015,PG,ATL,73.0,8.8,15.9,7.0,2.5,0.4,1.7,2.8
Beno Udrih,2015,PG,MEM,79.0,1.55,7.7,2.8,1.8,0.1,0.6,1.1
Anderson Varejao,2015,C,CLE,26.0,1.98,9.8,1.3,6.5,0.6,0.7,1.3
David West,2015,PF,IND,66.0,1.55,11.7,3.4,6.8,0.7,0.7,1.8
Russell Westbrook,2015,PG,OKC,67.0,26.54,28.1,8.6,7.3,0.2,2.1,4.4
Deron Williams,2015,PG,BRK,68.0,9.0,13.0,6.6,3.5,0.2,0.9,2.3
Nick Young,2015,SG,LAL,42.0,5.44,13.4,1.0,2.3,0.3,0.5,1.0
Thaddeus Young,2015,PF,TOT,76.0,14.15,14.1,2.3,5.4,0.3,1.6,1.5
Arron Afflalo,2016,SG,NYK,71.0,12.5,12.8,2.0,3.7,0.1,0.4,1.2
LaMarcus Aldridge,2016,PF,SAS,74.0,20.58,18.0,1.5,8.5,1.1,0.5,1.3
Tony Allen,2016,SG,MEM,64.0,5.51,8.4,1.1,4.6,0.3,1.7,1.2
Ryan Anderson,2016,PF,NOP,66.0,18.74,17.0,1.1,6.0,0.4,0.6,1.4
Carmelo Anthony,2016,SF,NYK,72.0,24.56,21.8,4.2,7.7,0.5,0.9,2.4
Trevor Ariza,2016,SF,HOU,81.0,7.81,12.7,2.3,4.5,0.3,2.0,1.4
Matt Barnes,2016,SF,MEM,76.0,6.12,10.0,2.1,5.5,0.8,1.0,1.6
Nicolas Batum,2016,SF,CHO,70.0,20.87,14.9,5.8,6.1,0.6,0.9,2.9
Jerryd Bayless,2016,SG,MIL,52.0,9.42,10.4,3.1,2.7,0.2,0.9,1.4
Michael Beasley,2016,PF,HOU,20.0,1.4,12.8,0.8,4.9,0.4,0.6,1.2
Marco Belinelli,2016,SG,SAC,68.0,6.33,10.2,1.9,1.7,0.0,0.5,1.2
Andrew Bogut,2016,C,GSW,70.0,11.03,5.4,2.3,7.0,1.6,0.5,1.2
Corey Brewer,2016,SF,HOU,82.0,7.6,7.2,1.3,2.4,0.2,1.0,1.0
Tyson Chandler,2016,C,PHO,66.0,12.42,7.2,1.0,8.7,0.7,0.5,1.4
Darren Collison,2016,PG,SAC,74.0,5.23,14.0,4.3,2.3,0.1,1.0,1.8
Nick Collison,2016,PF,OKC,59.0,3.75,2.1,0.9,2.9,0.3,0.3,0.8
Mike Conley,2016,PG,MEM,56.0,26.54,15.3,6.1,2.9,0.3,1.2,1.5
Stephen Curry,2016,PG,GSW,79.0,12.11,30.1,6.7,5.4,0.2,2.1,3.3
Luol Deng,2016,PF,MIA,74.0,18.0,12.3,1.9,6.0,0.4,1.0,1.1
DeMar DeRozan,2016,SG,TOR,78.0,26.54,23.5,4.0,4.5,0.3,1.0,2.2
Goran Dragic,2016,PG,MIA,72.0,15.89,14.1,5.8,3.8,0.2,1.0,2.6
Kevin Durant,2016,SF,OKC,72.0,26.54,28.2,5.0,8.2,1.2,1.0,3.5
Wayne Ellington,2016,SG,BRK,76.0,6.0,7.7,1.1,2.3,0.1,0.6,0.6
Monta Ellis,2016,SG,IND,81.0,10.77,13.8,4.7,3.3,0.5,1.9,2.5
Tyreke Evans,2016,SG,NOP,25.0,10.66,15.2,6.6,5.2,0.3,1.3,2.9
Raymond Felton,2016,PG,DAL,80.0,1.55,9.5,3.6,3.2,0.2,0.8,1.5
Marc Gasol,2016,C,MEM,52.0,21.17,16.6,3.8,7.0,1.3,1.0,2.3
Rudy Gay,2016,SF,SAC,70.0,13.33,17.2,1.7,6.5,0.7,1.4,2.0
Manu Ginobili,2016,SG,SAS,58.0,14.0,9.6,3.1,2.5,0.2,1.1,1.7
Eric Gordon,2016,SG,NOP,45.0,12.39,15.2,2.7,2.2,0.3,1.0,1.6
Danny Green,2016,SG,SAS,79.0,10.0,7.2,1.8,3.8,0.8,1.0,0.9
Devin Harris,2016,PG,DAL,64.0,4.23,7.6,1.8,2.2,0.2,0.9,1.0
Spencer Hawes,2016,PF,CHO,57.0,6.35,6.0,1.9,4.3,0.5,0.4,1.0
George Hill,2016,PG,IND,74.0,8.0,12.1,3.5,4.0,0.2,1.1,1.4
Jrue Holiday,2016,PG,NOP,65.0,11.29,16.8,6.0,3.0,0.3,1.4,2.6
Al Horford,2016,C,ATL,82.0,26.54,15.2,3.2,7.3,1.5,0.8,1.3
Dwight Howard,2016,C,HOU,71.0,23.18,13.7,1.4,11.8,1.6,1.0,2.3
Serge Ibaka,2016,PF,OKC,78.0,12.25,12.6,0.8,6.8,1.9,0.5,1.4
Andre Iguodala,2016,SF,GSW,65.0,11.13,7.0,3.4,4.0,0.3,1.1,1.2
Ersan Ilyasova,2016,PF,TOT,74.0,8.4,10.4,0.9,5.4,0.4,0.7,1.0
Jarrett Jack,2016,PG,BRK,32.0,1.55,12.8,7.4,4.2,0.2,1.1,2.9
Richard Jefferson,2016,SF,CLE,74.0,2.5,5.5,0.8,1.7,0.2,0.4,0.6
Amir Johnson,2016,PF,BOS,79.0,12.0,7.3,1.7,6.4,1.1,0.7,1.2
Joe Johnson,2016,SF,TOT,81.0,11.0,12.2,3.9,3.6,0.0,0.8,2.0
DeAndre Jordan,2016,C,LAC,77.0,21.17,12.7,1.2,13.8,2.3,0.7,1.4
Kyle Korver,2016,SG,ATL,80.0,5.24,9.2,2.0,3.2,0.4,0.8,1.2
Kosta Koufos,2016,C,SAC,78.0,8.05,6.8,0.4,5.4,0.9,0.5,0.6
Brook Lopez,2016,C,BRK,73.0,21.17,20.6,2.0,7.8,1.7,0.8,2.4
Kevin Love,2016,PF,CLE,77.0,21.17,16.0,2.4,9.9,0.5,0.8,1.8
Kyle Lowry,2016,PG,TOR,77.0,12.0,21.2,6.4,4.7,0.4,2.1,2.9
Wesley Matthews,2016,SF,DAL,78.0,17.1,12.5,1.9,3.1,0.2,1.0,1.0
JaVale McGee,2016,C,DAL,34.0,1.4,5.1,0.1,3.9,0.8,0.1,0.6
Jodie Meeks,2016,SG,DET,3.0,6.54,7.3,1.0,1.7,0.0,0.0,0.3
C.J. Miles,2016,SF,IND,64.0,4.58,11.8,1.0,2.7,0.5,0.8,1.1
Jameer Nelson,2016,PG,DEN,39.0,4.54,7.7,4.9,2.9,0.1,0.6,1.7
Dirk Nowitzki,2016,PF,DAL,75.0,25.0,18.3,1.8,6.5,0.7,0.7,1.1
Tony Parker,2016,PG,SAS,72.0,14.45,11.9,5.3,2.4,0.2,0.8,1.8
Chris Paul,2016,PG,LAC,74.0,22.87,19.5,10.0,4.2,0.2,2.1,2.6
Zach Randolph,2016,PF,MEM,68.0,10.36,15.3,2.1,7.8,0.2,0.6,1.5
J.J. Redick,2016,SG,LAC,75.0,7.38,16.3,1.4,1.9,0.1,0.6,1.0
Thabo Sefolosha,2016,SF,ATL,75.0,3.85,6.4,1.4,4.5,0.5,1.1,0.9
J.R. Smith,2016,SG,CLE,77.0,12.8,12.4,1.7,2.8,0.3,1.1,0.8
Jason Smith,2016,C,ORL,76.0,5.0,7.2,0.8,2.9,0.9,0.4,0.8
Marreese Speights,2016,C,GSW,72.0,1.4,7.1,0.8,3.3,0.5,0.3,0.9
Jeff Teague,2016,PG,ATL,79.0,8.8,15.7,5.9,2.7,0.3,1.2,2.8
Beno Udrih,2016,PG,TOT,44.0,1.55,4.7,2.6,1.6,0.0,0.3,1.2
Anderson Varejao,2016,C,TOT,53.0,1.98,2.6,0.7,2.7,0.2,0.3,0.4
David West,2016,PF,SAS,78.0,1.55,7.1,1.8,4.0,0.7,0.6,0.9
